dates,number_of_marriage
2024-12-26,15
2024-09-06,14
2024-01-02,10
2024-05-03,8
2024-12-27,10
2024-03-13,8
2024-11-27,6
2024-10-17,16
2024-04-05,9
2024-07-19,13
2024-06-19,8
2024-11-06,6
2024-12-05,18
2024-02-01,9
2024-12-10,14
2024-01-24,6
2024-03-27,9
2024-02-08,10
2024-09-26,7
2024-08-16,10
2024-04-08,9
2024-02-18,8
2024-02-24,9
2024-04-21,17
2024-11-11,13
2024-05-24,21
2024-03-11,12
2024-10-27,13
2024-03-18,17
2024-05-31,17
2024-09-05,13
2024-08-08,10
2024-11-26,8
2024-09-07,13
2024-12-08,8
2024-10-19,9
2024-01-23,9
2024-05-30,12
2024-03-22,11
2024-01-09,11
2024-04-01,13
2024-06-20,14
2024-04-19,8
2024-05-31,11
2024-11-29,11
2024-06-27,15
2024-07-02,10
2024-08-24,5
2024-08-27,10
2024-02-06,6
2024-07-23,12
2024-09-09,7
2024-08-21,5
2024-06-14,13
2024-03-01,6
2024-03-27,19
2024-06-17,10
2024-10-23,11
2024-12-29,13
2024-08-16,10
2024-02-15,11
2024-06-08,11
2024-10-28,11
2024-07-15,5
2024-12-16,6
2024-08-04,7
2024-07-07,10
2024-11-13,13
2024-05-02,7
2024-06-18,11
2024-11-10,7
2024-01-19,11
2024-11-18,8
2024-07-28,8
2024-12-13,10
2024-08-30,12
2024-09-18,20
2024-11-19,6
2024-06-07,10
2024-12-13,5
2024-06-18,11
2024-09-03,13
2024-03-12,9
2024-01-11,8
2024-06-23,9
2024-08-05,10
2024-11-10,7
2024-05-31,9
2024-05-19,12
2024-04-25,5
2024-01-25,11
2024-03-11,6
2024-05-14,9
2024-03-05,14
2024-06-25,12
2024-07-03,14
2024-11-25,10
2024-01-15,16
2024-08-24,15
2024-01-15,13
